city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Pâncota,46.3225,21.6869,Romania,RO,Arad,,6946,6946
Ungheni,46.4858,24.4608,Romania,RO,Mureş,,6945,6945
Sărmaşu,46.7536,24.1667,Romania,RO,Mureş,,6942,6942
Răcari,44.6333,25.7333,Romania,RO,Dâmboviţa,,6930,6930
Tălmaciu,45.6667,24.2611,Romania,RO,Sibiu,,6905,6905
Cajvana,47.7044,25.9694,Romania,RO,Suceava,,6901,6901
Fundulea,44.4528,26.5153,Romania,RO,Călăraşi,,6851,6851
Livada,47.8667,23.1333,Romania,RO,Satu Mare,,6773,6773
Făget,45.8500,22.1800,Romania,RO,Timiş,,6761,6761
Teiuş,46.2000,23.6800,Romania,RO,Alba,,6695,6695
Doctor Petru Groza,46.5400,22.4700,Romania,RO,Bihor,,6529,6529
Însurăţei,44.9167,27.6000,Romania,RO,Brăila,,6528,6528
Lehliu-Gară,44.4386,26.8533,Romania,RO,Călăraşi,,6502,6502
Piatra Olt,44.3603,24.2942,Romania,RO,Olt,,6299,6299
Bujor,45.8667,27.9000,Romania,RO,Galaţi,,6299,6299
Horezu,45.1433,23.9917,Romania,RO,Vâlcea,,6263,6263
Deta,45.4000,21.2200,Romania,RO,Timiş,,6260,6260
Ardud,47.6333,22.8833,Romania,RO,Satu Mare,,6231,6231
Bălan,46.6497,25.8100,Romania,RO,Harghita,,6115,6115
Slănic,45.2333,25.9392,Romania,RO,Prahova,,6034,6034
Brezoi,45.3442,24.2394,Romania,RO,Vâlcea,,6022,6022
Sebiş,46.3728,22.1294,Romania,RO,Arad,,5979,5979
Frasin,47.5183,25.7819,Romania,RO,Suceava,,5876,5876
Gătaia,45.4333,21.4333,Romania,RO,Timiş,,5861,5861
Potcoava,44.4910,24.6083,Romania,RO,Olt,,5743,5743
Miercurea Nirajului,46.5300,24.8000,Romania,RO,Mureş,,5554,5554
Broşteni,47.2442,25.6981,Romania,RO,Suceava,,5506,5506
Novaci-Străini,45.1800,23.6700,Romania,RO,Gorj,,5431,5431
Sălişte,45.7942,23.8864,Romania,RO,Sibiu,,5421,5421
Copşa Mică,46.1125,24.2306,Romania,RO,Sibiu,,5404,5404
Baia de Aramă,45.0000,22.8114,Romania,RO,Mehedinţi,,5349,5349
Ciacova,45.5000,21.1333,Romania,RO,Timiş,,5348,5348
Ştefăneşti,47.7922,27.2011,Romania,RO,Botoşani,,5314,5314
Vânju-Mare,44.4319,22.8769,Romania,RO,Mehedinţi,,5311,5311
Geoagiu,45.9200,23.2000,Romania,RO,Hunedoara,,5294,5294
Rupea,46.0389,25.2225,Romania,RO,Braşov,,5269,5269
Sângeorgiu de Pădure,46.4303,24.8417,Romania,RO,Mureş,,5166,5166
Fălciu,46.3095,28.0849,Romania,RO,Vaslui,,5103,5103
Negru Vodă,43.8181,28.2125,Romania,RO,Constanţa,,5088,5088
Abrud,46.2739,23.0500,Romania,RO,Alba,,5072,5072
